hgnc	chrom	all	syn	mis	non	splice_site	frameshift
B4GALT1	9	2.32923108554897e-05	7.28670816181636e-06	1.53015948214389e-05	4.58612192367546e-07	2.26022132094833e-07	7.58195948834747e-07
B4GALT2	1	2.38448765126231e-05	7.02477231724511e-06	1.59987500923137e-05	5.72201385118448e-07	2.28388668918175e-07	7.0878969652656e-07
B4GALT3	1	2.04348387033577e-05	4.79768157816605e-06	1.43223991004197e-05	1.0695638259404e-06	2.24424529148752e-07	7.4869474645318e-07
B4GALT4	3	1.41763434439779e-05	3.85494300821352e-06	9.40204096085165e-06	6.714343705004e-07	2.20049416504177e-07	6.55582963268313e-07
B4GALT5	20	1.73989155784325e-05	4.97916958573046e-06	1.15063207485758e-05	5.68538793028707e-07	3.26885577175672e-07	7.39193544086797e-07
B4GALT6	18	1.71663392972745e-05	4.50044961832005e-06	1.16095045973529e-05	5.7361839613068e-07	4.69700580277848e-07	7.27792101259284e-07
B4GALT7	5	1.94644733494151e-05	5.84492727028817e-06	1.30652972488935e-05	3.34437715220743e-07	2.02725909946645e-07	6.23278875225497e-07
B9D1	17	7.82258452490878e-06	2.53649552218399e-06	4.86914047691769e-06	2.16468749737357e-07	2.00479776080981e-07	4.90262042096353e-07
B9D2	19	1.1235560254759e-05	3.37813652247825e-06	7.42646110261424e-06	3.23021440165771e-07	8.99637223651098e-08	3.34442323289827e-07
BAALC	8	3.39327707843864e-06	8.31932814035917e-07	2.22776288021758e-06	2.49268706515817e-07	6.49505810038004e-08	2.77435109092514e-07
BAAT	9	1.60624234031137e-05	4.39797788132047e-06	1.07742699060549e-05	7.85904093124394e-07	9.09895457115342e-08	7.96200758300977e-07
BABAM1	19	1.45677041860973e-05	4.54141898338641e-06	9.74260950710722e-06	2.65792555010602e-07	NA	6.27079356177469e-07
BACE1	11	2.34897375647142e-05	6.90118659255187e-06	1.53665387248942e-05	7.22425932251203e-07	4.80621183789216e-07	9.53920717563393e-07
BACE2	21	2.46715613400018e-05	7.88456337643805e-06	1.58493670905638e-05	5.58647804465149e-07	3.53937412455311e-07	9.86224805623269e-07
BACH1	21	2.87416831422311e-05	7.99165458714412e-06	1.94040136520505e-05	1.19518055730863e-06	1.36139454842152e-07	1.40047722879259e-06
BACH2	6	4.26551765310406e-05	1.36628305737628e-05	2.77935894248481e-05	1.04261144859249e-06	1.35907103924289e-07	1.60000247848268e-06
BAD	11	8.52112397417308e-06	2.66828072034927e-06	5.52499499261768e-06	2.43071299462922e-07	6.30251468738714e-08	3.21140639977516e-07
BAG1	9	9.55108167805208e-06	2.74400809365294e-06	6.27628961626053e-06	2.49387811998538e-07	2.62451913242738e-07	4.38955549319926e-07
BAG2	6	8.05694844335407e-06	2.20624263043459e-06	5.53802791294529e-06	2.05756490744924e-07	8.72340140879791e-08	4.0285098033139e-07
BAG3	10	3.02138368522446e-05	9.42833462056224e-06	1.96042641761192e-05	1.02658451489e-06	1.34191770961425e-07	1.09453851258725e-06
BAG4	8	1.84260464943005e-05	5.20617310411914e-06	1.21784013403662e-05	8.40628930513287e-07	1.75915554285902e-07	8.70310136743409e-07
BAG5	14	2.05574413169202e-05	5.92654812817454e-06	1.37576137015479e-05	7.23573311996023e-07	1.31780948424406e-07	9.29217591414346e-07
BAG6	6	5.203204500618e-05	1.37421932415559e-05	3.55672844257252e-05	1.72312630218118e-06	9.80596038337823e-07	2.152972456182e-06
BAGE2	21	1.04063470508952e-06	3.0639249456484e-07	6.74297468674547e-07	3.57835679413993e-08	2.41611739163023e-08	2.09026452058994e-07
BAHD1	15	4.27909023585348e-05	1.11714664314747e-05	2.97993821610313e-05	1.57797627946882e-06	2.21636582895372e-07	1.48408780962202e-06
BAI1	8	6.79188453010495e-05	2.13522270201752e-05	4.49530681163308e-05	1.60122190448626e-06	1.23282598747638e-08	3.01188115008432e-06
BAI2	1	8.07672319945435e-05	2.4210177968338e-05	5.32954923258459e-05	1.87794815973233e-06	1.36464525469177e-06	3.01378139057272e-06
BAI3	6	6.18209521901615e-05	1.69506934965915e-05	4.04940531263546e-05	2.94924317183498e-06	1.41388932657347e-06	2.89406624079497e-06
BAIAP2	17	3.30015479597706e-05	1.1220570035179e-05	2.06495102535523e-05	5.37900134257691e-07	5.7545092389999e-07	9.90025286567362e-07
BAIAP2L1	7	2.6303241224481e-05	8.61326666095529e-06	1.60614174107697e-05	8.04814169877362e-07	7.98601284767968e-07	9.72923122316316e-07
BAIAP2L2	22	2.6376718949553e-05	7.67442385721158e-06	1.76266689489526e-05	4.87764548046375e-07	5.69833221486943e-07	1.00712745082375e-06
BAIAP3	16	6.6870456632628e-05	2.15635790803738e-05	4.24229335788369e-05	1.53911397433591e-06	1.32767286265074e-06	2.25748568220101e-06
BAK1	6	1.02007624647699e-05	2.72735508301675e-06	6.84866208356264e-06	4.40666195727013e-07	1.56186198464558e-07	4.0285098033139e-07
BAMBI	10	1.06740193681158e-05	3.131547865859e-06	6.96329788890674e-06	4.87115931255436e-07	6.41433001228217e-08	4.9596276352173e-07
BANF1	11	4.55301906597554e-06	1.31855497995696e-06	2.90449066428467e-06	2.61781231752541e-07	4.58212745322138e-08	1.71021642593289e-07
BANF2	20	3.47462429797612e-06	1.0720518246157e-06	2.21499275591052e-06	1.20402627592645e-07	4.51831592152143e-08	1.72921883065843e-07
BANK1	4	2.63626277178621e-05	6.46130217549341e-06	1.78092999380433e-05	1.44928108424493e-06	6.2967941140486e-07	1.49358901198111e-06
BANP	16	3.26246846636082e-05	1.12888283826821e-05	1.99863969772956e-05	8.65519367053744e-07	4.65454959698885e-07	9.88125046082103e-07
BAP1	3	3.61342538446676e-05	1.04474896198343e-05	2.42658882281552e-05	7.30228472136612e-07	6.72951939725546e-07	1.38717554547529e-06
BARD1	2	3.1709933687353e-05	8.71652665154568e-06	2.13667281595951e-05	1.15989645660719e-06	4.48925883905232e-07	1.47838708819408e-06
BARHL1	9	2.43807173686171e-05	8.4990650404389e-06	1.54135726522247e-05	3.77164652646725e-07	9.09150233485421e-08	6.23278875225497e-07
BARHL2	1	2.15673873165007e-05	7.15096765071705e-06	1.39518131243662e-05	3.74901427160138e-07	8.97051144958178e-08	7.37293303616112e-07
BARX1	9	7.7313966357968e-06	2.41896184098577e-06	5.0597664935015e-06	1.49431832142635e-07	8.57525036297794e-08	4.84561320675819e-07
BARX2	11	1.55686140786034e-05	4.82893609836069e-06	1.00624726922494e-05	5.29206727578107e-07	1.34364108387912e-07	5.32067332508909e-07
BASP1	5	9.55044807890127e-06	3.78364029344831e-06	5.59700808248673e-06	1.26144294976187e-07	2.186661128763e-08	4.33254827901873e-07
BATF	14	7.94874440923683e-06	2.71829986045606e-06	4.89650179004611e-06	2.27092733566598e-07	9.02505734950355e-08	2.39430299631576e-07
BATF2	11	1.24963915308652e-05	3.93792201811345e-06	8.06172454297352e-06	3.97190166261911e-07	8.52944504272993e-08	5.22566130145033e-07
BATF3	1	4.92503869400161e-06	1.34077714846073e-06	3.15000854748092e-06	3.44382528632647e-07	6.49516253659028e-08	2.43230780577938e-07
BAX	19	1.14317135162694e-05	3.43163080216789e-06	7.26166591336815e-06	5.59341132557486e-07	1.57643543578852e-07	4.16152663642909e-07
BAZ1A	14	6.04593553393756e-05	1.46176068219368e-05	4.10055827959578e-05	3.72247695512746e-06	1.0929335284308e-06	2.95867441687211e-06
BAZ1B	7	5.78577551666671e-05	1.40071403875732e-05	4.02121550047696e-05	2.83826391426142e-06	7.78164988173791e-07	2.81995686229209e-06
BAZ2A	12	7.92366551647428e-05	1.98737644613427e-05	5.60426912648124e-05	3.30130476978482e-06	NA	3.62185834200634e-06
BAZ2B	2	7.68497874106808e-05	1.91961782496263e-05	5.21891099464272e-05	3.9723562688143e-06	1.47430801057827e-06	4.12162158645206e-06
BBC3	19	4.2689828751214e-06	1.16682439350976e-06	2.91947482098471e-06	1.21382261811012e-07	4.26699868815552e-08	3.68646651811436e-07
BBOX1	11	1.45499274656188e-05	3.83875146568136e-06	9.87564431443957e-06	5.56688113761832e-07	2.60992405275615e-07	7.37293303616112e-07
BBS1	11	3.14451513586232e-05	9.33698195405549e-06	2.03820089942113e-05	9.92510584164402e-07	7.17152308120835e-07	1.12874284111085e-06
BBS10	12	2.62627973586413e-05	7.34282036494557e-06	1.80097162430751e-05	8.44669822596287e-07	4.51029886170999e-08	1.37577410264625e-06
BBS12	4	2.57917925068143e-05	7.18862138948854e-06	1.74596588061734e-05	1.09812624874028e-06	2.40956164023648e-08	1.35107097648561e-06
BBS2	16	3.20613763121729e-05	8.27618927793372e-06	2.13836562960919e-05	1.66844354949721e-06	7.13779170704997e-07	1.37197362169184e-06
BBS4	15	1.84407594290002e-05	5.16444307188422e-06	1.18805101386935e-05	7.41009677480092e-07	6.36061952212856e-07	9.88125046082103e-07
BBS5	2	1.35256831172629e-05	3.45407164752735e-06	9.06090263964748e-06	5.10247510454813e-07	4.80373764613142e-07	6.49882241859272e-07
BBS7	4	2.55700522860786e-05	6.769186387358e-06	1.70224193243382e-05	9.62630708659268e-07	7.87950848361441e-07	1.36057217885788e-06
BBS9	7	3.44290791455955e-05	9.08244217186924e-06	2.23838270392791e-05	1.77732658503243e-06	1.16567063769479e-06	1.6874135402566e-06
BBX	3	3.53864214700231e-05	9.3396782183446e-06	2.37459378940772e-05	1.70597315159593e-06	5.76034986546466e-07	1.79002652579512e-06
BCAM	19	3.86340334415095e-05	1.2224644086359e-05	2.49701311832634e-05	7.9011622551848e-07	6.30888481834114e-07	1.11924163875514e-06
BCAN	1	5.2553945814614e-05	1.58677458462014e-05	3.43762497310494e-05	1.76509670802141e-06	5.37799815393121e-07	1.73301931161562e-06
BCAP29	7	8.19761859353026e-06	2.15204171854529e-06	5.4681040663501e-06	2.95529602210569e-07	2.63149567743391e-07	4.5985819452745e-07
BCAP31	X	1.17557191293602e-05	3.58652422630562e-06	7.64458467429012e-06	2.4663272828705e-07	2.63764268224117e-07	5.96675508597909e-07
BCAR1	16	5.30944020936218e-05	1.79741117648436e-05	3.35449518591511e-05	1.34143654673146e-06	2.17193963344129e-07	1.7425205139755e-06
BCAR3	1	4.09205965629542e-05	1.2162190098323e-05	2.68685852303599e-05	1.42105897550998e-06	4.4867804349302e-07	1.56959863090792e-06
BCAS1	20	2.58612562015158e-05	8.33407418305949e-06	1.64774344306768e-05	5.90165955734208e-07	4.44890260034921e-07	1.11164067684907e-06
BCAS2	1	9.44179689322159e-06	2.45177364350357e-06	6.11958560718242e-06	5.97083127567645e-07	2.55523266491442e-07	4.29454346958384e-07
BCAS3	17	4.28655553988538e-05	1.12750325660774e-05	2.84524872807825e-05	1.90919148652202e-06	1.20852547689178e-06	1.76532339963985e-06
BCAS4	20	7.02877100243209e-06	2.04648711172718e-06	4.47682518044011e-06	2.04948826883287e-07	2.7494811397118e-07	4.0285098033139e-07
BCAT1	12	1.42902852319432e-05	3.9957550521354e-06	9.66575604124803e-06	6.10931120794146e-07	NA	7.35393063151842e-07
BCAT2	19	2.11997286612925e-05	6.34648499477543e-06	1.36404196510996e-05	7.57599227048054e-07	4.36397288067704e-07	7.46794505980202e-07
BCCIP	10	1.28109891663767e-05	3.9969663488017e-06	8.19467792785824e-06	3.33437828578422e-07	2.66009550071854e-07	5.56770458658685e-07
BCDIN3D	12	1.48479422660337e-05	4.31196270571589e-06	9.76673808021649e-06	7.05542095090964e-07	4.47903663286716e-08	5.56770458658685e-07
BCHE	3	2.10303960440786e-05	5.39314945044235e-06	1.45429420018554e-05	9.90314685990785e-07	9.03663306748818e-08	1.14584500537286e-06
BCKDHA	19	2.75584774856085e-05	8.34363466298828e-06	1.8073188692773e-05	6.67769485004196e-07	4.54949405408544e-07	8.47507251067913e-07
BCKDHB	6	1.63081594768673e-05	4.51032513422174e-06	1.06777417323396e-05	6.9444258815599e-07	4.06162242849135e-07	7.46794505980202e-07
BCKDK	16	2.36031155538894e-05	6.99334359146777e-06	1.58552704357812e-05	3.40842234311969e-07	4.04013815257688e-07	6.95488013204564e-07
BCL10	1	9.60748637576033e-06	2.50446514961855e-06	6.38600139744724e-06	4.80979942126864e-07	2.08188382254827e-07	4.44656270741714e-07
BCL11A	2	5.39012468519712e-05	1.9009475864907e-05	3.37386056484479e-05	8.80948039942355e-07	2.45118448819496e-07	1.58860103564546e-06
BCL11B	14	6.09486401891609e-05	2.26709292342955e-05	3.71336078459344e-05	9.06627475415838e-07	2.24169979819138e-07	1.70071522357996e-06
BCL2	18	1.78981162042702e-05	6.30936058468042e-06	1.12755845013899e-05	2.49210935400452e-07	4.51449189231475e-08	4.56057713579709e-07
BCL2A1	15	6.82534382232027e-06	2.10318975107667e-06	4.31298973819965e-06	3.50224654932559e-07	4.42455738891054e-08	3.11639437615606e-07
BCL2L1	20	1.25175357625405e-05	3.58762729766013e-06	8.50192238996615e-06	3.55011475409882e-07	4.51031855610948e-08	4.44656270741714e-07
BCL2L10	15	1.22959582483014e-05	4.19708315097818e-06	7.74535636002914e-06	3.0950735439672e-07	1.89396458379392e-08	3.8954929702125e-07
BCL2L11	2	7.58897521487925e-06	2.16708157358201e-06	5.02489229883781e-06	3.26461526139232e-07	7.05398164020091e-08	3.28741601874167e-07
BCL2L12	19	1.51429222361255e-05	3.96883125033653e-06	1.03351695241181e-05	6.45882704298301e-07	1.75006307202539e-07	6.36580558545321e-07
BCL2L13	22	1.96867611255906e-05	6.10387633518784e-06	1.2718008573924e-05	6.19078968832638e-07	2.20153444682924e-07	9.23516869997449e-07
BCL2L14	12	9.3915635219708e-06	2.80989820320471e-06	6.01821937703264e-06	4.11870805094606e-07	1.3488014026691e-07	4.80760839738351e-07
BCL2L15	1	6.61407997976525e-06	1.6790003828229e-06	4.59592922244949e-06	1.8925476613448e-07	1.3207564301428e-07	3.11639437615606e-07
BCL2L2	14	1.059391336703e-05	3.09596943433069e-06	7.21680891847304e-06	2.17285790254771e-07	4.50666010129974e-08	3.68646651811436e-07
BCL2L2-PABPN1	14	1.69451252876263e-05	4.22057296357829e-06	1.17215265336506e-05	7.23489838398815e-07	2.65939145724969e-07	6.34680318065155e-07
BCL3	19	2.28329999463181e-05	7.4744130229877e-06	1.45770833767478e-05	3.40550942662717e-07	4.22935857812767e-07	8.64609415337144e-07
BCL6	3	3.50241894152708e-05	9.06706289171814e-06	2.43975692620398e-05	1.22205446842247e-06	3.19631039004453e-07	1.34347001460145e-06
BCL6B	17	3.00433175078596e-05	9.20824589389368e-06	1.98593573156513e-05	5.18064708758484e-07	4.38260914590801e-07	9.12115427151057e-07
BCL7A	12	1.27742506392305e-05	4.25264880846182e-06	7.75178356181285e-06	4.30499451990901e-07	3.17339315454932e-07	4.40855789794435e-07
BCL7B	7	1.00364178431538e-05	3.22589525473502e-06	6.276615378834e-06	2.93490718749464e-07	2.20981832181216e-07	3.85748816068077e-07
BCL7C	16	1.27056104335632e-05	3.28423203979183e-06	8.7342541432935e-06	4.42812256100825e-07	2.26321984646695e-07	4.14252423165375e-07
BCL9	1	6.01714060488837e-05	1.63852231331794e-05	4.16358298002095e-05	1.87438173881206e-06	2.63252783361158e-07	2.71164315530703e-06
BCL9L	11	7.87843026751759e-05	2.43176699823857e-05	5.22907051184583e-05	1.73978070099108e-06	4.15254503910656e-07	2.85036070984643e-06
BCLAF1	6	3.69405435992758e-05	8.44896149484988e-06	2.562692501668e-05	2.39514445551515e-06	4.49708057044538e-07	1.7501214758813e-06
BCMO1	16	2.63322688961604e-05	8.4700088890207e-06	1.66982897994414e-05	6.97852878478958e-07	4.44628740857465e-07	1.04133177933371e-06
BCO2	11	2.21000823805603e-05	5.338050131471e-06	1.51394956244126e-05	1.10908382142306e-06	4.92045457623529e-07	1.10213947448092e-06
BCOR	X	8.46226712925212e-05	2.66376642159255e-05	5.49800401591614e-05	2.4849009207432e-06	5.02835724344393e-07	3.33682227103657e-06
BCORL1	X	8.22268884120605e-05	2.53096382655658e-05	5.37075605137942e-05	2.69910105380704e-06	4.91823688132845e-07	3.25321169020545e-06
BCR	22	7.57381017761981e-05	2.4824781681236e-05	4.8375441789899e-05	1.57532235306558e-06	9.48901142681799e-07	2.41710588196807e-06
BCS1L	2	2.12295889249506e-05	5.27230158061759e-06	1.4288213069713e-05	1.38138780572754e-06	2.65334155708543e-07	7.98100998771299e-07
BDH1	3	1.98724869760638e-05	5.79825434677822e-06	1.3271976758711e-05	5.57897223728189e-07	2.26429970532369e-07	6.53682722797696e-07
BDH2	4	1.03678697191074e-05	2.77218940260287e-06	6.918304170491e-06	3.01613384480766e-07	3.53388618816686e-07	4.67459156417293e-07
BDKRB1	14	1.68290989347124e-05	4.69566576187873e-06	1.14696359502379e-05	6.36334887860315e-07	1.43778836985681e-08	6.72685127539081e-07
BDKRB2	14	2.10837760393228e-05	6.30817237653698e-06	1.41772536863122e-05	5.33380151516019e-07	4.59870280385422e-08	7.44894265515495e-07
BDNF	11	1.20036600641625e-05	3.37134201852449e-06	7.97718175083373e-06	6.10197329020728e-07	1.84501231668742e-08	4.71259637371547e-07
BDP1	5	9.10081225894717e-05	2.38173265129405e-05	6.15751308545406e-05	3.67247359477791e-06	1.92334094420278e-06	4.98813124227382e-06
BECN1	17	1.97286004933146e-05	5.34544004083149e-06	1.30531771310581e-05	8.64676496456148e-07	4.37459138709442e-07	8.57008453442397e-07
BEGAIN	14	4.00503108993676e-05	1.40940882058465e-05	2.49774998249624e-05	6.44050538831184e-07	3.17550703185843e-07	1.12874284111085e-06
BEND2	X	3.01792353306687e-05	8.49209191619582e-06	2.00951572748818e-05	1.04474454052917e-06	5.29444996735547e-07	1.52019237859785e-06
BEND3	6	5.25268691889456e-05	1.69674746662973e-05	3.43939321221585e-05	1.05386032911777e-06	9.2820873368906e-08	1.57529935232808e-06
BEND4	4	1.69133795239325e-05	5.30466666476856e-06	1.06050294154911e-05	9.84195344891943e-07	NA	1.01662865318899e-06
BEND5	1	1.29767690875729e-05	3.79173572566365e-06	8.57669565691477e-06	4.54985030611458e-07	1.3349857388471e-07	8.01901479710863e-07
BEND6	6	1.00652608984332e-05	2.65791937548336e-06	6.69888553190586e-06	5.00459709505355e-07	1.80873273782817e-07	5.32067332508909e-07
BEND7	10	2.01120063767446e-05	5.75345933485013e-06	1.32279241369427e-05	8.39689178908345e-07	2.73003467071302e-07	8.91212781946545e-07
BEST1	11	2.01306203844283e-05	6.2524913099926e-06	1.2823506711625e-05	6.63706583228617e-07	3.90915779393901e-07	1.14964548631323e-06
BEST2	19	2.40484704220813e-05	7.52583465535236e-06	1.53819701129881e-05	6.81860434940857e-07	4.41217064636798e-07	9.6912264136507e-07
BEST3	12	2.72478796697038e-05	7.71293682456007e-06	1.80793862917619e-05	1.07646145275179e-06	3.54032454492701e-07	1.27126087661451e-06
BEST4	1	1.52387123909056e-05	4.61631594311639e-06	9.93233537277576e-06	4.41201079092753e-07	2.48859995703404e-07	9.00713984314784e-07
BET1	7	3.81153681539968e-06	9.53694888739447e-07	2.59504292694187e-06	1.08679131594479e-07	1.31762455106717e-07	2.26128616316124e-07
BET1L	11	5.20499699397564e-06	1.51208651293372e-06	3.45096681410595e-06	1.5794896112031e-07	6.51158356613214e-08	1.95724768743018e-07
BEX1	X	4.96262416251358e-06	1.08626301399172e-06	3.59221742487923e-06	2.50133182519236e-07	1.6200661858414e-08	2.39430299631576e-07
BEX2	X	5.64804042405951e-06	1.44618495811555e-06	3.92882250846151e-06	2.55226487281828e-07	NA	3.05938716192883e-07
BEX4	X	5.62293578704775e-06	1.42564944734413e-06	3.78115071714119e-06	3.80457348169694e-07	1.91760150493348e-08	2.29929097265833e-07
BEX5	X	4.3442790220265e-06	1.13103338949164e-06	3.08065883827172e-06	9.28455956327923e-08	2.32469808919064e-08	2.12826933004562e-07
BFAR	16	1.84640320964355e-05	5.29671083356615e-06	1.20164573471238e-05	8.6584433199958e-07	2.63243594439992e-07	8.57008453442397e-07
BFSP1	20	2.33006293511579e-05	7.04605991367113e-06	1.54268104245242e-05	5.72272345789326e-07	2.42406588751351e-07	1.26556015518749e-06
BFSP2	3	2.1501231686294e-05	6.19575386709292e-06	1.41072511771626e-05	9.10162412998776e-07	2.66657642415944e-07	7.90500036880348e-07
BGLAP	1	5.33134280070233e-06	1.75115301706764e-06	3.34059275576211e-06	1.07192368414222e-07	1.13148379210211e-07	1.91924287797669e-07
BGN	X	1.98728527069302e-05	6.29209299190244e-06	1.28729839213803e-05	2.98776746399064e-07	3.87020555738728e-07	7.01188734632912e-07
BHLHA15	7	3.49587649616245e-06	1.02576854236621e-06	2.43919633330824e-06	3.09116204784777e-08	NA	3.61045689916253e-07
BHLHB9	X	1.84550493094236e-05	4.72883811760963e-06	1.31791057146142e-05	5.1715327449377e-07	1.53084256818502e-08	1.04133177933371e-06
BHLHE22	8	1.79012917621405e-05	6.61644257408746e-06	1.08866047047795e-05	3.61889496429195e-07	2.33011125072668e-08	7.25891860780864e-07
BHLHE23	20	9.28223174480574e-06	3.31698533944329e-06	5.81459591481592e-06	1.5065049049215e-07	NA	4.29454346958384e-07
BHLHE40	3	2.11369624083185e-05	6.84501330624404e-06	1.36794501592818e-05	4.2350114660924e-07	1.75370974887865e-07	7.84799315461154e-07
BHLHE41	12	1.59219946648677e-05	5.5310242329778e-06	9.62635610237695e-06	5.91719377223448e-07	1.72894952080422e-07	9.17816148579363e-07
BHMT	5	1.70346023410328e-05	4.75890442516632e-06	1.11791156749177e-05	7.58850835524935e-07	3.17305827429789e-07	7.7339787260582e-07
BHMT2	5	1.48911806494775e-05	4.30623155123022e-06	9.71845403612156e-06	5.58112733806836e-07	2.95119222752062e-07	6.91687532266619e-07
BICC1	10	4.18148436806061e-05	1.1761173065844e-05	2.7456871337952e-05	1.69443356609568e-06	8.81923009850746e-07	1.85273446143066e-06
BICD1	12	4.28055949808358e-05	1.22616351812704e-05	2.84664216179735e-05	1.65824774504912e-06	3.99043317225519e-07	1.8546347019118e-06
BICD2	9	5.39638102894795e-05	1.68898656927595e-05	3.58121005627293e-05	9.96411522698103e-07	2.46646133256479e-07	1.62660584511764e-06
BID	22	1.35863438122648e-05	3.90537442603843e-06	9.23310047993799e-06	2.10489151887914e-07	2.19458006150106e-07	4.5985819452745e-07
BIK	22	6.02452564444908e-06	2.14635023245619e-06	3.65504892455998e-06	1.14806945718987e-07	8.97447759928952e-08	3.05938716192883e-07
BIN1	2	2.88891020467858e-05	9.85791369925076e-06	1.75660936987954e-05	6.60017947074308e-07	7.77101202239521e-07	1.12874284111085e-06
BIN2	12	2.17370914932749e-05	6.09252477821393e-06	1.41283068117789e-05	9.57660649555526e-07	5.40772793449553e-07	1.07553610786707e-06
BIN3	8	1.13663507382814e-05	3.21416652939184e-06	7.66581625313163e-06	4.68491931698151e-07	NA	4.82661080207045e-07
BIRC2	11	2.15270592183629e-05	5.56681419603344e-06	1.46422032318708e-05	9.95475371066321e-07	3.09498805161672e-07	1.17624885294503e-06
BIRC3	11	2.2561192699739e-05	6.2016867914863e-06	1.52489702785896e-05	7.7889645208602e-07	3.06565339793477e-07	1.14964548631323e-06
BIRC5	17	9.36582809035473e-06	2.94850112534742e-06	5.94796349374798e-06	2.76851326070996e-07	1.75750927109897e-07	3.15439918560425e-07
BIRC6	2	0.00016427500358113	4.43195577700995e-05	0.000113117567893671	6.81280374421433e-06	NA	9.23136821909561e-06
BIRC7	20	1.74985214630632e-05	5.55800538195862e-06	1.13236195033448e-05	3.68561508466604e-07	2.29729329325963e-07	5.68171901497693e-07
BIRC8	19	9.59869464503593e-06	2.53819025419022e-06	6.6046405546571e-06	4.21780730487683e-07	2.10163623409872e-08	4.5035699216152e-07
BIVM	13	1.90879181019781e-05	5.07987459163426e-06	1.27450334844784e-05	8.92584383190049e-07	3.50909530053449e-07	9.57721198508745e-07
BIVM-ERCC5	13	6.73856074135463e-05	1.92371819681389e-05	4.44611003360251e-05	2.57197142239318e-06	1.10176059118682e-06	3.11829461659058e-06
BLCAP	20	4.12445923608194e-06	1.40002864631319e-06	2.59760016611008e-06	9.53815660990364e-08	1.71905679682995e-08	1.67221161646447e-07
BLID	11	4.00308526261828e-06	1.00973524587084e-06	2.77895307797267e-06	1.82545825620625e-07	1.71768011396417e-08	2.07126211584586e-07
BLK	8	2.88435972371016e-05	8.90530626592227e-06	1.85948384539983e-05	8.51869938583865e-07	4.88291234612256e-07	9.61521679467886e-07
BLM	15	5.20152892579622e-05	1.47794207331904e-05	3.45406619912767e-05	1.67754298487703e-06	9.97152092483074e-07	2.69454099109506e-06
BLMH	17	1.84352285893169e-05	5.1321082612138e-06	1.19415055934455e-05	8.76292934649984e-07	4.62995370819373e-07	8.66509655795802e-07
BLNK	10	2.0556830029021e-05	5.95926377383742e-06	1.28287710106402e-05	1.05119538373435e-06	6.97758201742295e-07	8.68409896278206e-07
BLOC1S1	12	5.4159817227367e-06	1.34532225815183e-06	3.65925721526718e-06	2.54681553624198e-07	1.37322137852279e-07	2.92637032883778e-07
BLOC1S2	10	6.91693824183484e-06	2.09119616093687e-06	4.32641949364216e-06	3.01197098471207e-07	1.73011933456753e-07	2.71734387672414e-07
BLOC1S3	19	8.63101409596722e-06	2.88911409728939e-06	5.64443156455711e-06	5.61895837859517e-08	2.19107506726836e-08	3.85748816068077e-07
BLOC1S4	4	9.60947875632198e-06	3.30925283212936e-06	5.93466137417424e-06	1.08662122786307e-07	2.35946222566187e-07	4.14252423165375e-07
BLOC1S5	6	4.79303094153413e-06	9.79714903768721e-07	3.25617613937992e-06	4.34877805668703e-07	1.09528795365754e-07	2.35629818682508e-07
BLOC1S6	15	4.97456949315613e-06	1.25941573361717e-06	3.09614185153288e-06	3.29203113757027e-07	2.70991226029971e-07	3.28741601874167e-07
BLVRA	7	1.36096454627991e-05	4.11759559144911e-06	8.63178503760803e-06	5.74982052082264e-07	2.70942451204735e-07	5.64371420560599e-07
BLVRB	19	1.31864122240853e-05	4.34446047394168e-06	8.22825429815768e-06	4.24769510069734e-07	1.68480481685266e-07	3.93349777966745e-07
BLZF1	1	1.54081545222915e-05	3.49851649895737e-06	1.08458114446815e-05	8.29150612843908e-07	2.20978478552316e-07	7.61996429775262e-07
BMF	15	7.73266298994682e-06	2.02955470492345e-06	5.02151327902396e-06	5.75401019405497e-07	8.75720574114453e-08	3.51544487549886e-07
BMI1	10	1.17067709191281e-05	2.8508707198317e-06	7.88309423541332e-06	6.0222978428419e-07	3.50479718918425e-07	6.21378634754241e-07
BMP1	8	6.14907023673961e-05	1.8986843380423e-05	3.99224027716049e-05	1.70849158532597e-06	8.51192866830391e-07	1.87553734710506e-06
BMP10	2	1.80600421657786e-05	5.33946205272065e-06	1.20490716317904e-05	5.99929517787043e-07	4.44398929960053e-08	8.07602201133141e-07
BMP15	X	1.55185545701018e-05	3.77492103778156e-06	1.09007518031663e-05	7.95292998293607e-07	1.980488074701e-08	7.46794505980202e-07
BMP2	20	2.03709852492333e-05	6.26327532382914e-06	1.3378387427105e-05	6.64976386734658e-07	4.40830363504353e-08	7.54395467877146e-07
BMP2K	4	4.07692034250687e-05	1.05997850382636e-05	2.78444968322853e-05	1.73913127584559e-06	5.63827775378211e-07	2.20807942990133e-06
BMP3	4	2.12672177674975e-05	6.05753994639212e-06	1.44855130474294e-05	6.15103281277177e-07	8.85606578668909e-08	8.98813743854529e-07
BMP4	14	2.24124973990107e-05	5.7077662002371e-06	1.58624810377182e-05	7.81361694150156e-07	4.29182294287408e-08	7.77198353566385e-07
BMP5	6	1.92397081644401e-05	4.87934265416136e-06	1.31561429576758e-05	9.20305176038747e-07	2.70346438049016e-07	8.64609415337144e-07
BMP6	6	2.82746795763366e-05	9.2968565514988e-06	1.78230921390407e-05	8.71512731426929e-07	2.6894983052914e-07	9.76723603241623e-07
