SYMBOL	n_ptv	n_missense	n_syn	n_nonsyn	p_mupit	p_dnw	p_dnm	p_adj
COBLL1	0	1	0	1	1	1	1	1
COG2	0	1	0	1	1	1	1	1
COL11A2	0	1	0	1	1	1	1	1
COL15A1	1	2	0	3	0.0322884273698315	1	0.0322884273698315	1
COL16A1	0	1	0	1	1	1	1	1
COL1A2	0	0	1	0	1	1	1	1
COL20A1	0	1	2	1	1	1	1	1
COL23A1	1	0	0	1	0.014582770307024	1	0.014582770307024	1
COL4A1	0	1	0	1	1	1	1	1
COL4A2	0	1	1	1	1	1	1	1
COL4A3	1	0	0	1	0.0395735699464917	1	0.0395735699464917	1
COL4A3BP	0	1	0	1	1	1	1	1
COL5A3	0	1	0	1	1	1	1	1
COL6A6	0	2	0	2	1	1	1	1
COL7A1	0	1	0	1	1	1	1	1
COL8A2	1	0	0	1	0.0106278335368555	1	0.0106278335368555	1
COLEC11	0	0	1	0	1	1	1	1
COLGALT1	0	2	0	2	1	1	1	1
COLGALT2	0	1	0	1	1	1	1	1
COLQ	0	0	0	0	1	1	1	1
COPA	0	1	0	1	1	1	1	1
COPB2	1	1	0	2	0.0222576870779704	1	0.0222576870779704	1
COPE	0	0	1	0	1	1	1	1
COPG1	0	1	0	1	1	1	1	1
COPG2	0	0	1	0	1	1	1	1
COPS2	0	0	1	0	1	1	1	1
COPZ2	0	1	0	1	1	1	1	1
COQ3	0	1	0	1	1	1	1	1
CORIN	0	1	0	1	1	1	1	1
CORO2B	0	1	0	1	1	1	1	1
COX15	0	1	0	1	1	1	1	1
COX18	1	0	0	1	0.00713498539977026	1	0.00713498539977026	1
COX7A2L	0	1	0	1	1	1	1	1
CPA2	0	1	0	1	1	1	1	1
CPA3	0	1	0	1	1	1	1	1
CPD	0	2	0	2	1	1	1	1
CPEB2	0	1	0	1	1	1	1	1
CPED1	1	0	0	1	0.0244848673816157	1	0.0244848673816157	1
CPNE2	0	0	1	0	1	1	1	1
CPNE4	1	0	0	1	0.0132571379658463	1	0.0132571379658463	1
CPNE7	0	0	1	0	1	1	1	1
CPOX	0	1	0	1	1	1	1	1
CPSF1	0	2	0	2	1	1	1	1
CPSF3L	0	0	0	0	1	1	1	1
CPSF4L	0	1	0	1	1	1	1	1
CPSF7	0	1	0	1	1	1	1	1
CPT1A	0	1	0	1	1	1	1	1
CPT2	0	0	1	0	1	1	1	1
CR1L	0	1	0	1	1	1	1	1
CR2	0	1	0	1	1	1	1	1
CRAMP1L	0	2	0	2	1	1	1	1
CRB1	0	1	0	1	1	1	1	1
CRB2	0	1	0	1	1	1	1	1
CREB1	0	1	0	1	1	1	1	1
CREB5	0	1	0	1	1	1	1	1
CREBBP	2	0	0	2	0.00164296892442864	1	0.00164296892442864	1
CREBRF	0	1	0	1	1	1	1	1
CREBZF	0	0	0	0	1	1	1	1
CRHR1	0	1	0	1	1	1	1	1
CRIM1	0	2	0	2	1	1	1	1
CRLF3	0	1	0	1	1	1	1	1
CRNN	0	1	0	1	1	1	1	1
CRTC1	0	1	0	1	1	1	1	1
CRTC3	0	0	1	0	1	1	1	1
CRYAA	0	1	0	1	1	1	1	1
CSF1	0	0	1	0	1	1	1	1
CSF2RB	0	0	1	0	1	1	1	1
CSK	0	1	0	1	1	1	1	1
CSMD1	0	0	1	0	1	1	1	1
CSMD3	1	0	0	1	0.0862554480940262	1	0.0862554480940262	1
CSNK2A1	0	1	0	1	1	1	1	1
CSNK2A3	0	1	0	1	1	1	1	1
CSNK2B	0	1	0	1	1	1	1	1
CST4	0	1	0	1	1	1	1	1
CSTF2T	0	1	0	1	1	1	1	1
CTBP2	1	0	0	1	0.0203905756314416	1	0.0203905756314416	1
CTCF	0	3	0	3	1	1	1	1
CTCFL	0	1	0	1	1	1	1	1
CTDSP1	1	0	0	1	0.0069189076178282	1	0.0069189076178282	1
CTDSPL2	0	2	0	2	1	1	1	1
CTNNA1	0	2	0	2	1	1	1	1
CTNNB1	2	0	0	2	0.000172865716414801	1	0.000172865716414801	1
CTNNBIP1	1	0	0	1	0.00270845555073088	1	0.00270845555073088	1
CTNND1	1	1	0	2	0.0191213242966039	1	0.0191213242966039	1
CTR9	1	1	0	2	0.0296470587969749	1	0.0296470587969749	1
CTRB1	0	1	0	1	1	1	1	1
CTSK	0	1	0	1	1	1	1	1
CTSZ	1	0	0	1	0.00637837544488458	1	0.00637837544488458	1
CTTNBP2	0	1	0	1	1	1	1	1
CTU2	0	1	0	1	1	1	1	1
CUL1	0	1	0	1	1	1	1	1
CUL3	1	1	0	2	0.0183730909648432	1	0.0183730909648432	1
CUL4B	0	1	0	1	1	1	1	1
CUX2	0	1	1	1	1	1	1	1
CUZD1	0	1	0	1	1	1	1	1
CXorf30	0	1	0	1	1	1	1	1
CXorf36	0	1	0	1	1	1	1	1
CYFIP1	0	1	0	1	1	1	1	1
CYFIP2	0	1	0	1	1	1	1	1
CYHR1	0	0	1	0	1	1	1	1
CYP11A1	0	1	0	1	1	1	1	1
CYP21A2	1	1	0	2	0.0103302459217154	1	0.0103302459217154	1
CYP26A1	0	1	0	1	1	1	1	1
CYP26B1	0	0	2	0	1	1	1	1
CYP26C1	0	1	0	1	1	1	1	1
CYP27C1	0	2	0	2	1	1	1	1
CYP2A6	0	0	1	0	1	1	1	1
CYP2C9	1	0	0	1	0.00920525084627901	1	0.00920525084627901	1
CYP2J2	0	1	0	1	1	1	1	1
CYP2U1	0	1	0	1	1	1	1	1
CYP3A4	0	1	0	1	1	1	1	1
CYP4F11	0	1	0	1	1	1	1	1
CYP7B1	0	0	1	0	1	1	1	1
DAAM1	0	1	0	1	1	1	1	1
DALRD3	0	1	0	1	1	1	1	1
DAPK3	0	1	1	1	1	1	1	1
DARS	1	0	0	1	0.0141059246095228	1	0.0141059246095228	1
DAZAP1	1	0	0	1	0.0108235221775212	1	0.0108235221775212	1
DBF4B	0	1	0	1	1	1	1	1
DBR1	0	0	1	0	1	1	1	1
DCAF12L2	0	1	0	1	1	1	1	1
DCAF4	0	1	0	1	1	1	1	1
DCAF8	1	0	0	1	0.0143209165430978	1	0.0143209165430978	1
DCAF8	1	0	0	1	0.0143209165430978	1	0.0143209165430978	1
DCHS1	0	2	0	2	1	1	1	1
DCHS2	0	2	2	2	1	1	1	1
DCLK1	0	1	0	1	1	1	1	1
DCLRE1C	0	0	0	0	1	1	1	1
DCST1	0	0	1	0	1	1	1	1
DCX	0	0	1	0	1	1	1	1
DCXR	0	1	0	1	1	1	1	1
DDB1	0	2	0	2	1	1	1	1
DDIT3	0	1	0	1	1	1	1	1
DDO	0	1	0	1	1	1	1	1
DDR2	0	1	0	1	1	1	1	1
DDX1	0	1	0	1	1	1	1	1
DDX10	0	2	0	2	1	1	1	1
DDX17	0	0	1	0	1	1	1	1
DDX19A	0	1	0	1	1	1	1	1
DDX23	0	1	0	1	1	1	1	1
DDX3X	1	4	0	5	0.00989715731227035	1	0.00989715731227035	1
DDX41	0	0	1	0	1	1	1	1
DDX5	0	0	1	0	1	1	1	1
DDX51	0	1	0	1	1	1	1	1
DDX59	0	1	0	1	1	1	1	1
DDX60	0	1	1	1	1	1	1	1
DDX60L	1	1	1	2	0.0318760110490155	1	0.0318760110490155	1
DEF8	0	1	0	1	1	1	1	1
DEFB128	0	1	0	1	1	1	1	1
DENND2A	0	1	0	1	1	1	1	1
DENND2C	0	2	1	2	1	1	1	1
DENND3	0	0	1	0	1	1	1	1
DENND5A	0	1	0	1	1	1	1	1
DFFB	0	1	0	1	1	1	1	1
DGCR2	0	1	0	1	1	1	1	1
DGKA	0	1	0	1	1	1	1	1
DGKD	0	1	1	1	1	1	1	1
DGUOK	0	2	0	2	1	1	1	1
DHDH	0	1	0	1	1	1	1	1
DHX32	0	1	0	1	1	1	1	1
DHX33	0	0	1	0	1	1	1	1
DHX35	0	1	0	1	1	1	1	1
DHX36	0	0	1	0	1	1	1	1
DHX38	0	2	1	2	1	1	1	1
DHX57	0	0	1	0	1	1	1	1
DHX58	0	1	0	1	1	1	1	1
DHX8	0	1	1	1	1	1	1	1
DHX9	1	0	0	1	0.0341828046033769	1	0.0341828046033769	1
DIAPH3	0	3	0	3	1	1	1	1
DIDO1	0	3	2	3	1	1	1	1
DIP2A	0	0	1	0	1	1	1	1
DIP2C	0	2	1	2	1	1	1	1
DISC1	0	0	0	0	1	1	1	1
DISP1	0	1	0	1	1	1	1	1
DLC1	0	1	1	1	1	1	1	1
DLD	0	2	0	2	1	1	1	1
DLEC1	0	2	0	2	1	1	1	1
DLG2	0	1	0	1	1	1	1	1
DLGAP5	0	1	0	1	1	1	1	1
DLL4	0	1	0	1	1	1	1	1
DMBT1	0	1	0	1	1	1	1	1
DMBX1	0	1	0	1	1	1	1	1
DMWD	0	1	1	1	1	1	1	1
DMXL1	0	2	1	2	1	1	1	1
DMXL2	0	2	0	2	1	1	1	1
DNAH10	0	2	0	2	1	1	1	1
DNAH12	0	2	0	2	1	1	1	1
DNAH14	0	1	0	1	1	1	1	1
DNAH17	0	4	1	4	1	1	1	1
DNAH5	0	0	1	0	1	1	1	1
DNAH6	0	2	0	2	1	1	1	1
DNAH8	0	1	0	1	1	1	1	1
DNAH9	0	1	1	1	1	1	1	1
DNAJB1	1	0	0	1	0.00715128045852835	1	0.00715128045852835	1
DNAJB7	0	1	0	1	1	1	1	1
DNAJC1	0	0	1	0	1	1	1	1
DNAJC13	1	1	0	2	0.055233657159492	1	0.055233657159492	1
DNAJC28	0	0	1	0	1	1	1	1
DNAJC3	1	0	0	1	0.0132789164127219	1	0.0132789164127219	1
DNAJC5B	0	1	0	1	1	1	1	1
DNER	0	1	0	1	1	1	1	1
DNM1	0	0	1	0	1	1	1	1
DNM1L	1	0	0	1	0.0191763697677812	1	0.0191763697677812	1
DNM3	0	1	0	1	1	1	1	1
DNMT3A	0	1	0	1	1	1	1	1
DOCK10	1	0	0	1	0.0398406915241985	1	0.0398406915241985	1
DOCK11	0	0	1	0	1	1	1	1
DOCK2	0	1	0	1	1	1	1	1
DOCK3	1	0	0	1	0.0393144808580462	1	0.0393144808580462	1
DOCK4	0	2	0	2	1	1	1	1
DOCK6	0	0	1	0	1	1	1	1
DOCK9	0	1	0	1	1	1	1	1
DOK2	0	0	1	0	1	1	1	1
DOK4	0	1	0	1	1	1	1	1
DOPEY1	1	0	0	1	0.0559215515855518	1	0.0559215515855518	1
DPF1	0	0	1	0	1	1	1	1
DPF2	0	1	0	1	1	1	1	1
DPF3	0	1	0	1	1	1	1	1
DPH6	0	0	1	0	1	1	1	1
DPH7	0	1	0	1	1	1	1	1
DPP9	0	0	1	0	1	1	1	1
DPT	0	1	0	1	1	1	1	1
DPY19L1	0	1	0	1	1	1	1	1
DPYD	0	1	0	1	1	1	1	1
DPYSL5	0	1	0	1	1	1	1	1
DROSHA	0	1	0	1	1	1	1	1
DSC1	0	1	0	1	1	1	1	1
DSCAML1	0	6	0	6	1	1	1	1
DSE	0	1	0	1	1	1	1	1
DSEL	0	1	0	1	1	1	1	1
DSG2	0	1	0	1	1	1	1	1
DSP	0	1	0	1	1	1	1	1
DST	0	1	0	1	1	1	1	1
DSTYK	0	1	0	1	1	1	1	1
DTD2	0	1	0	1	1	1	1	1
DTHD1	0	1	0	1	1	1	1	1
DTNA	0	1	0	1	1	1	1	1
DTX1	0	1	0	1	1	1	1	1
DTX3L	0	1	0	1	1	1	1	1
DUS1L	0	1	0	1	1	1	1	1
DUS3L	0	1	0	1	1	1	1	1
DUSP23	0	1	0	1	1	1	1	1
DUSP27	0	1	0	1	1	1	1	1
DUSP8	0	1	0	1	1	1	1	1
DUXA	0	0	1	0	1	1	1	1
DVL1	0	1	0	1	1	1	1	1
DVL2	0	1	0	1	1	1	1	1
DVL3	0	1	0	1	1	1	1	1
DYNC1LI1	1	0	0	1	0.0129595882621388	1	0.0129595882621388	1
DYNC2H1	0	0	1	0	1	1	1	1
DYRK1A	3	1	0	4	9.46238659891953e-07	1	9.46238659891953e-07	0.0179785345379471
DYX1C1	0	1	0	1	1	1	1	1
DZANK1	0	0	1	0	1	1	1	1
DZIP1	0	1	1	1	1	1	1	1
E4F1	0	1	0	1	1	1	1	1
EBF2	0	1	0	1	1	1	1	1
ECE1	0	1	0	1	1	1	1	1
ECE2	0	1	0	1	1	1	1	1
ECHDC3	0	0	1	0	1	1	1	1
ECI1	0	1	0	1	1	1	1	1
EDC4	0	1	0	1	1	1	1	1
EDEM1	0	1	0	1	1	1	1	1
EDN3	0	1	0	1	1	1	1	1
EDNRA	1	0	0	1	0.00903047301430185	1	0.00903047301430185	1
EEA1	1	0	0	1	0.0353684713177607	1	0.0353684713177607	1
EEF1A2	0	1	0	1	1	1	1	1
EEF2	0	2	0	2	1	1	1	1
EEPD1	0	3	0	3	1	1	1	1
EFCAB13	0	0	1	0	1	1	1	1
EFEMP2	0	0	0	0	1	1	1	1
EFHB	0	1	0	1	1	1	1	1
EFHD2	0	1	0	1	1	1	1	1
EFNB3	0	1	0	1	1	1	1	1
EFR3A	1	1	0	2	0.016520528037228	1	0.016520528037228	1
EGFL7	1	0	0	1	0.00589744647807299	1	0.00589744647807299	1
EGR1	0	1	0	1	1	1	1	1
EHBP1	0	1	1	1	1	1	1	1
EHMT1	1	1	0	2	0.0310596269565709	1	0.0310596269565709	1
EHMT2	0	0	1	0	1	1	1	1
EIF2AK1	0	0	1	0	1	1	1	1
EIF2AK4	0	1	0	1	1	1	1	1
EIF2S3L	0	0	0	0	1	1	1	1
EIF3D	0	1	0	1	1	1	1	1
EIF3H	0	1	0	1	1	1	1	1
EIF3L	0	0	1	0	1	1	1	1
EIF4A2	1	0	0	1	0.00989879879726593	1	0.00989879879726593	1
EIF4A3	0	0	1	0	1	1	1	1
EIF4E2	0	0	1	0	1	1	1	1
EIF4G1	0	0	1	0	1	1	1	1
EIF4G2	1	0	0	1	1	1	1	1
EIF4G3	0	1	0	1	1	1	1	1
EIF5A	0	1	0	1	1	1	1	1
EIF5B	1	0	0	1	0.0297998905881463	1	0.0297998905881463	1
ELAC2	0	2	0	2	1	1	1	1
ELFN2	0	2	0	2	1	1	1	1
ELL2	1	0	0	1	0.0150881372236989	1	0.0150881372236989	1
ELMO2	0	2	0	2	1	1	1	1
ELN	2	0	0	2	0.000177284840589143	1	0.000177284840589143	1
ELOF1	0	1	0	1	1	1	1	1
ELOVL6	0	1	0	1	1	1	1	1
ELP2	0	1	0	1	1	1	1	1
ELP3	0	1	0	1	1	1	1	1
ELP4	0	0	1	0	1	1	1	1
ELTD1	0	0	1	0	1	1	1	1
EMC1	0	1	0	1	1	1	1	1
EML3	0	1	0	1	1	1	1	1
EML5	0	1	0	1	1	1	1	1
EML6	0	2	0	2	1	1	1	1
EMR1	0	1	0	1	1	1	1	1
ENAH	0	0	0	0	1	1	1	1
ENG	0	1	0	1	1	1	1	1
ENKD1	0	1	0	1	1	1	1	1
ENPP2	0	1	0	1	1	1	1	1
ENPP5	0	1	0	1	1	1	1	1
ENTPD3	0	1	0	1	1	1	1	1
EOMES	0	0	1	0	1	1	1	1
EP300	2	2	0	4	0.00166981195526728	1	0.00166981195526728	1
EP400	1	1	0	2	0.0704610422492862	1	0.0704610422492862	1
EPAS1	0	0	1	0	1	1	1	1
EPB41L4A	1	0	1	1	0.0197405584789694	1	0.0197405584789694	1
EPDR1	0	1	0	1	1	1	1	1
EPHA1	0	1	1	1	1	1	1	1
EPHA4	0	1	0	1	1	1	1	1
EPHA7	1	0	0	1	0.0230811629539433	1	0.0230811629539433	1
EPN3	0	1	0	1	1	1	1	1
EPPK1	0	2	0	2	1	1	1	1
EPS8L1	0	1	0	1	1	1	1	1
EPS8L2	0	1	0	1	1	1	1	1
EPT1	0	1	0	1	1	1	1	1
EPYC	0	0	1	0	1	1	1	1
EQTN	0	0	1	0	1	1	1	1
ERBB2	0	1	1	1	1	1	1	1
ERBB2IP	0	1	0	1	1	1	1	1
ERBB3	0	1	1	1	1	1	1	1
ERBB4	0	0	1	0	1	1	1	1
ERCC3	0	1	0	1	1	1	1	1
ERCC5	0	2	0	2	1	1	1	1
ERCC6-PGBD3	0	1	0	1	1	1	1	1
ERF	0	1	0	1	1	1	1	1
ERI1	0	1	0	1	1	1	1	1
ERI2	0	1	0	1	1	1	1	1
ERLIN2	0	1	0	1	1	1	1	1
ERP29	0	1	0	1	1	1	1	1
ERRFI1	0	1	0	1	1	1	1	1
ESAM	0	1	0	1	1	1	1	1
ESPL1	0	0	1	0	1	1	1	1
ESRP2	0	1	0	1	1	1	1	1
ETFDH	0	0	1	0	1	1	1	1
ETNPPL	0	0	1	0	1	1	1	1
ETS1	1	0	0	1	0.0102227922576636	1	0.0102227922576636	1
ETS2	0	0	1	0	1	1	1	1
ETV3L	0	0	1	0	1	1	1	1
EVC	0	0	1	0	1	1	1	1
EVI2B	1	0	0	1	0.0075477709788719	1	0.0075477709788719	1
EVPL	0	0	1	0	1	1	1	1
EVX1	0	1	0	1	1	1	1	1
EXD3	0	1	0	1	1	1	1	1
EXOC1	0	1	0	1	1	1	1	1
EXOC2	0	0	1	0	1	1	1	1
EXOC4	0	0	1	0	1	1	1	1
EXOC8	0	0	1	0	1	1	1	1
EXOSC4	0	1	0	1	1	1	1	1
EXPH5	0	0	1	0	1	1	1	1
EXT2	0	1	0	1	1	1	1	1
EXTL1	0	1	0	1	1	1	1	1
EXTL3	0	1	0	1	1	1	1	1
EYA1	1	0	0	1	0.0156190756181931	1	0.0156190756181931	1
EYS	0	1	0	1	1	1	1	1
EZH1	0	1	0	1	1	1	1	1
EZR	0	2	0	2	1	1	1	1
F2RL2	0	1	0	1	1	1	1	1
F2RL3	0	1	0	1	1	1	1	1
FA2H	0	0	0	0	1	1	1	1
FABP2	0	1	0	1	1	1	1	1
FADS3	0	1	0	1	1	1	1	1
FAM101A	0	1	0	1	1	1	1	1
FAM109B	0	0	1	0	1	1	1	1
FAM110B	0	1	0	1	1	1	1	1
FAM111A	0	0	1	0	1	1	1	1
FAM124A	0	1	0	1	1	1	1	1
FAM124B	0	1	0	1	1	1	1	1
FAM129C	0	0	0	0	1	1	1	1
FAM134A	1	0	0	1	0.0102831794322383	1	0.0102831794322383	1
FAM135A	0	3	0	3	1	1	1	1
FAM135B	0	1	0	1	1	1	1	1
FAM149B1	0	1	0	1	1	1	1	1
FAM161A	0	1	0	1	1	1	1	1
FAM171B	0	1	0	1	1	1	1	1
FAM174B	0	1	0	1	1	1	1	1
FAM175A	0	0	1	0	1	1	1	1
FAM178A	0	2	0	2	1	1	1	1
FAM179B	0	1	0	1	1	1	1	1
FAM188A	0	1	0	1	1	1	1	1
FAM194A	0	1	0	1	1	1	1	1
FAM196B	0	1	0	1	1	1	1	1
FAM200A	1	0	0	1	0.00695387431754954	1	0.00695387431754954	1
FAM208B	0	1	0	1	1	1	1	1
FAM21C	0	1	0	1	1	1	1	1
FAM222A	0	0	1	0	1	1	1	1
FAM3D	0	0	1	0	1	1	1	1
FAM46A	1	0	0	1	0.00811756630686535	1	0.00811756630686535	1
FAM65C	0	1	0	1	1	1	1	1
FAM71C	0	1	0	1	1	1	1	1
FAM72A	1	0	0	1	0.00300315806590247	1	0.00300315806590247	1
FAM73A	0	1	0	1	1	1	1	1
FAM76A	0	1	0	1	1	1	1	1
FAM83G	0	1	0	1	1	1	1	1
FAM83H	0	1	0	1	1	1	1	1
FAM84A	1	0	0	1	0.0059520722410842	1	0.0059520722410842	1
FAM89A	0	1	0	1	1	1	1	1
FAM8A1	0	1	0	1	1	1	1	1
FAN1	0	1	0	1	1	1	1	1
FANCF	0	0	1	0	1	1	1	1
FANCM	1	0	0	1	0.0445460587130276	1	0.0445460587130276	1
FARSB	0	1	0	1	1	1	1	1
FASN	0	0	0	0	1	1	1	1
FAT1	0	0	1	0	1	1	1	1
FAT2	1	0	0	1	0.0780544479095879	1	0.0780544479095879	1
FAT3	0	1	0	1	1	1	1	1
FAT4	0	3	0	3	1	1	1	1
FAXC	0	1	0	1	1	1	1	1
FBN1	0	3	1	3	1	1	1	1
FBN2	0	1	1	1	1	1	1	1
FBN3	0	2	0	2	1	1	1	1
FBXO10	0	2	0	2	1	1	1	1
FBXO11	0	1	0	1	1	1	1	1
FBXO16	0	1	0	1	1	1	1	1
FBXO21	0	1	0	1	1	1	1	1
FBXO31	0	1	0	1	1	1	1	1
FBXO4	0	1	0	1	1	1	1	1
FBXO8	0	1	0	1	1	1	1	1
FCAR	1	0	0	1	0.00690453587749994	1	0.00690453587749994	1
FCGBP	0	0	1	0	1	1	1	1
FCHO1	0	1	1	1	1	1	1	1
FCHSD1	0	1	1	1	1	1	1	1
FCN3	0	0	1	0	1	1	1	1
FEM1A	0	0	1	0	1	1	1	1
FEM1B	0	0	1	0	1	1	1	1
FERMT1	0	1	0	1	1	1	1	1
FERMT2	0	1	0	1	1	1	1	1
FEZ1	1	1	0	2	0.00221515823249865	1	0.00221515823249865	1
FEZ2	1	0	0	1	0.00628734109178227	1	0.00628734109178227	1
FGF12	0	1	0	1	1	1	1	1
FGF14	0	1	1	1	1	1	1	1
FGF6	0	0	1	0	1	1	1	1
FGF8	0	0	1	0	1	1	1	1
FGFR2	0	2	0	2	1	1	1	1
FGFR3	0	1	0	1	1	1	1	1
FGFR4	0	1	0	1	1	1	1	1
FHL3	0	1	0	1	1	1	1	1
FIG4	0	1	0	1	1	1	1	1
FIGF	0	1	0	1	1	1	1	1
FIGN	1	0	0	1	0.0136486301067696	1	0.0136486301067696	1
FILIP1L	0	1	0	1	1	1	1	1
FIP1L1	0	1	0	1	1	1	1	1
FKBP1B	0	0	1	0	1	1	1	1
FKBP8	0	0	1	0	1	1	1	1
FKBP9	0	0	1	0	1	1	1	1
FLG	0	1	0	1	1	1	1	1
FLII	0	2	0	2	1	1	1	1
FLNC	0	1	0	1	1	1	1	1
FLOT2	1	0	0	1	0.0102925660895737	1	0.0102925660895737	1
FLRT3	0	1	0	1	1	1	1	1
FLT1	1	0	0	1	0.0305876480161307	1	0.0305876480161307	1
FLT3	0	1	1	1	1	1	1	1
FLT4	2	1	0	3	0.000494479607329884	1	0.000494479607329884	1
FLYWCH1	0	1	0	1	1	1	1	1
FMN1	0	2	1	2	1	1	1	1
FMNL1	1	0	0	1	0.0233150173475437	1	0.0233150173475437	1
FMO5	0	0	0	0	1	1	1	1
FN1	0	1	0	1	1	1	1	1
FN3K	1	1	1	2	0.00785658915414342	1	0.00785658915414342	1
FNBP4	0	0	1	0	1	1	1	1
FNDC1	0	1	0	1	1	1	1	1
FNDC3A	0	1	1	1	1	1	1	1
FNDC3B	0	0	1	0	1	1	1	1
FNIP1	0	0	1	0	1	1	1	1
FOXA2	0	1	0	1	1	1	1	1
FOXC1	0	1	0	1	1	1	1	1
FOXD1	0	1	0	1	1	1	1	1
FOXI1	0	1	0	1	1	1	1	1
FOXK1	0	1	0	1	1	1	1	1
FOXK2	0	1	2	1	1	1	1	1
FOXM1	1	0	1	1	0.017146356982199	1	0.017146356982199	1
FOXP1	2	1	0	3	0.000173452765806327	1	0.000173452765806327	1
FOXP2	0	1	0	1	1	1	1	1
FOXP4	0	1	0	1	1	1	1	1
FOXR1	0	1	0	1	1	1	1	1
FOXRED1	0	1	0	1	1	1	1	1
FRAS1	0	1	0	1	1	1	1	1
FREM2	0	1	0	1	1	1	1	1
FRMD3	0	1	0	1	1	1	1	1
FRMD5	0	1	0	1	1	1	1	1
FRMPD2	0	1	0	1	1	1	1	1
FRY	1	0	1	1	0.0720264314326451	1	0.0720264314326451	1
FRYL	3	0	0	3	6.05087249484595e-05	1	6.05087249484595e-05	1
FRZB	0	1	0	1	1	1	1	1
FSIP1	0	1	0	1	1	1	1	1
FTSJ2	0	1	0	1	1	1	1	1
FTSJ3	1	0	0	1	0.0233297432643182	1	0.0233297432643182	1
FUK	1	0	0	1	0.0232411708866957	1	0.0232411708866957	1
FUT9	0	0	1	0	1	1	1	1
FZD3	0	1	0	1	1	1	1	1
FZD8	0	1	0	1	1	1	1	1
G6PC	0	0	1	0	1	1	1	1
GAB3	0	1	0	1	1	1	1	1
GABRG3	0	1	0	1	1	1	1	1
GABRP	0	1	0	1	1	1	1	1
GAD1	0	1	0	1	1	1	1	1
GALK1	0	1	0	1	1	1	1	1
GALNT11	0	1	0	1	1	1	1	1
GALNT14	0	0	1	0	1	1	1	1
GALNT9	0	1	0	1	1	1	1	1
GAN	0	2	0	2	1	1	1	1
GANAB	1	1	0	2	0.02806447162612	1	0.02806447162612	1
GARNL3	0	1	1	1	1	1	1	1
GART	0	1	0	1	1	1	1	1
GAS2L2	0	1	0	1	1	1	1	1
GATA3	0	1	0	1	1	1	1	1
GATA4	1	0	0	1	0.00801699451420029	1	0.00801699451420029	1
GATA6	3	2	0	5	1.80237206060674e-07	1	1.80237206060674e-07	0.00342450691515281
GATAD2B	1	0	0	1	0.0147744260116826	1	0.0147744260116826	1
GBF1	0	0	1	0	1	1	1	1
GBP5	0	1	0	1	1	1	1	1
GC	0	1	0	1	1	1	1	1
GCDH	0	1	0	1	1	1	1	1
GCN1L1	0	1	0	1	1	1	1	1
GCNT3	0	1	0	1	1	1	1	1
GDA	0	1	0	1	1	1	1	1
GDNF	0	1	0	1	1	1	1	1
GDPD4	0	1	0	1	1	1	1	1
GEMIN4	0	0	1	0	1	1	1	1
GFI1B	0	2	0	2	1	1	1	1
GGA3	0	1	0	1	1	1	1	1
GGN	0	1	0	1	1	1	1	1
GGT6	0	0	2	0	1	1	1	1
GIGYF1	0	1	0	1	1	1	1	1
GIMAP6	0	0	1	0	1	1	1	1
GIT1	0	0	2	0	1	1	1	1
GJA1	0	1	0	1	1	1	1	1
GJA10	0	1	0	1	1	1	1	1
GLA	1	0	0	1	0.00681755640846684	1	0.00681755640846684	1
GLCCI1	0	0	1	0	1	1	1	1
GLIPR1L2	0	0	1	0	1	1	1	1
GLIS1	0	1	0	1	1	1	1	1
GLIS3	0	2	0	2	1	1	1	1
GLTSCR1	1	0	0	1	0.0199020965515508	1	0.0199020965515508	1
GLUL	0	1	0	1	1	1	1	1
GLYAT	0	1	0	1	1	1	1	1
GLYR1	0	1	0	1	1	1	1	1
GNA15	0	1	0	1	1	1	1	1
GNAI3	1	0	0	1	0.00908745998756293	1	0.00908745998756293	1
GNAO1	0	0	0	0	1	1	1	1
GNAT3	0	1	0	1	1	1	1	1
GNB1	0	1	0	1	1	1	1	1
GNB2	0	1	0	1	1	1	1	1
GNE	0	1	0	1	1	1	1	1
GNG12	0	0	1	0	1	1	1	1
GNPAT	0	1	0	1	1	1	1	1
GNPDA2	0	1	0	1	1	1	1	1
GNPTAB	0	1	0	1	1	1	1	1
GOLGA3	0	1	0	1	1	1	1	1
GOLGA5	0	2	0	2	1	1	1	1
GON4L	0	0	1	0	1	1	1	1
GOPC	0	1	0	1	1	1	1	1
GORAB	0	0	0	0	1	1	1	1
GORASP1	0	1	0	1	1	1	1	1
GOSR1	0	1	0	1	1	1	1	1
GOSR2	1	0	0	1	0.00580073316378273	1	0.00580073316378273	1
GPAM	0	1	0	1	1	1	1	1
GPATCH1	0	1	0	1	1	1	1	1
GPATCH8	0	2	0	2	1	1	1	1
GPBAR1	1	1	0	2	0.00530328882204093	1	0.00530328882204093	1
GPHN	0	1	1	1	1	1	1	1
GPN3	0	0	1	0	1	1	1	1
GPR1	0	1	0	1	1	1	1	1
GPR116	0	2	0	2	1	1	1	1
GPR124	0	1	0	1	1	1	1	1
GPR125	0	1	1	1	1	1	1	1
GPR126	0	1	0	1	1	1	1	1
GPR135	0	0	1	0	1	1	1	1
GPR150	1	0	0	1	0.0059045796063386	1	0.0059045796063386	1
GPR151	0	0	1	0	1	1	1	1
GPR156	0	1	0	1	1	1	1	1
GPR158	0	0	1	0	1	1	1	1
GPR162	0	1	0	1	1	1	1	1
