symbol	chr	start	end	case	control	p_value	p_value_adj
AGPAT5	8	6565878	6617187	2	4	1	1
AGPS	2	178257372	178408564	1	0	0.335266	1
AGR2	7	16831435	16873057	2	1	0.266973	1
AGR3	7	16899029	16921611	2	1	0.261574	1
AGRN	1	955503	991498	2	137	1	1
AGRP	16	67516474	67517716	1	0	0.338866	1
AGT	1	230838269	230850043	1	0	0.346065	1
AGTR1	3	148415571	148460795	1	0	0.331567	1
AGTRAP	1	11796141	11814859	3	0	0.0378962	1
AGXT	2	241807896	241819919	1	0	0.336966	1
AHCTF1	1	247002400	247095280	0	1	1	1
AHCY	20	32868074	32899608	1	0	0.340666	1
AHDC1	1	27860546	27930942	3	0	0.0416958	1
AHNAK	11	62201014	62323707	1	0	0.337466	1
AHNAK2	14	105403581	105444694	0	134	1	1
AHR	7	17338246	17385776	1	3	1	1
AHRR	5	304291	438406	2	2	0.414359	1
AHSA1	14	77924213	77935817	0	1	1	1
AHSA2	2	61404553	61418338	2	0	0.115888	1
AHSP	16	31539185	31540124	0	1	1	1
AICDA	12	8754762	8765467	0	1	1	1
AIFM3	22	21319396	21335649	110	376	1	1
AIG1	6	143381633	143661441	3	1	0.117888	1
AIM1	6	106808683	107019853	2	1	0.265773	1
AIM2	1	159032274	159116886	1	0	0.349565	1
AIMP2	7	6048876	6063465	4	1	0.050195	1
AIP	11	67250512	67258574	1	0	0.344266	1
AIPL1	17	6297013	6338519	1	0	0.339366	1
AIRE	21	45705721	45718531	2	0	0.119688	1
AJAP1	1	4714792	4852594	3	0	0.0436956	1
AK3	9	4709559	4742043	2	3	0.565643	1
AK6	5	68646811	68665840	1	0	0.344966	1
AK8	9	135600965	135754164	0	1	1	1
AK9	6	109814059	110012420	1	1	0.560444	1
AKAP12	6	151561134	151679692	5	2	0.0434957	1
AKAP13	15	85923802	86292589	2	2	0.421658	1
AKAP2	9	112810878	112934792	2	0	0.113289	1
AKAP6	14	32798479	33306887	1	0	0.339866	1
AKAP7	6	131456806	131604675	0	1	1	1
AKAP8	19	15464196	15490609	2	0	0.117688	1
AKAP8L	19	15490859	15529952	2	0	0.117688	1
AKAP9	7	91570181	91739987	2	0	0.118288	1
AKIRIN2	6	88384790	88411927	3	0	0.0410959	1
AKR1B10	7	134212344	134226160	1	0	0.345965	1
AKR1B15	7	134233888	134264627	1	0	0.345965	1
AKR1C1	10	5005445	5149714	2	7	1	1
AKR1C2	10	4964756	5177418	2	8	1	1
AKR1C3	10	5077546	5149878	2	7	1	1
AKR1C4	10	5237425	5260912	1	3	1	1
AKR1D1	7	137687070	137802732	1	0	0.343166	1
AKR1E2	10	4828821	4890254	2	1	0.276672	1
AKR7A2	1	19630459	19638640	3	0	0.0340966	1
AKR7A3	1	19609052	19615744	3	0	0.0340966	1
AKT1	14	105235686	105262088	0	122	1	1
AKT1S1	19	50372290	50381716	1	3	1	1
AKT2	19	40736224	40791443	0	1	1	1
AKT3	1	243651535	244014381	3	1	0.123988	1
AL021920.2	1	17060447	17060956	19	80	1	1
AL031320.1	6	143759575	143764295	3	0	0.0386961	1
AL035588.1	6	41653964	41654127	2	0	0.115988	1
AL050302.1	21	14741931	14745386	6	64	1	1
AL050303.1	21	15051621	15053459	6	64	1	1
AL079342.1	6	89674246	89676685	2	0	0.117688	1
AL096677.1	20	23330015	23334066	1	0	0.343466	1
AL109659.1	1	48569306	48569878	0	1	1	1
AL109927.1	1	28177085	28177255	3	0	0.0416958	1
AL117190.2	14	101295066	101295537	1	0	0.345765	1
AL117190.3	14	101359265	101360646	1	0	0.345765	1
AL118506.1	20	62585007	62585495	2	0	0.113189	1
AL121895.1	20	34756461	34758180	1	0	0.334667	1
AL132989.1	14	58754751	58755865	1	0	0.338166	1
AL133262.1	6	44400472	44400720	1	1	0.565243	1
AL133318.1	13	41111138	41111323	1	0	0.335366	1
AL135998.1	14	23286463	23291750	0	1	1	1
AL136218.1	13	50007495	50020554	0	2	1	1
AL136376.1	1	116915890	116926718	1	0	0.335766	1
AL158091.1	20	62474779	62475273	2	0	0.113189	1
AL158147.2	9	4859120	4859260	1	1	0.571843	1
AL161450.1	9	5077163	5084580	1	1	0.571843	1
AL161645.2	10	135341026	135342661	17	22	0.139186	1
AL162389.1	9	110539471	110540419	2	0	0.113289	1
AL353354.1	1	28527013	28527152	3	0	0.0416958	1
AL353354.2	1	28527070	28527419	3	0	0.0416958	1
AL354718.1	9	45441273	45441542	7	7	0.168183	1
AL354808.2	13	20268547	20269240	1	0	0.342466	1
AL354993.1	20	52105495	52106164	0	1	1	1
AL355149.2	1	16865561	16866070	1	3	1	1
AL357673.1	1	54635333	54637997	0	1	1	1
AL358113.1	9	71869331	71869642	1	1	0.564244	1
AL358813.2	1	149675978	149676609	0	1	1	1
AL359091.2	9	131062367	131064212	0	1	1	1
AL359736.1	13	24895264	24895566	5	1	0.020298	1
AL360181.1	10	135192720	135193102	9	13	0.318968	1
AL390778.1	9	138150512	138151275	2	0	0.111189	1
AL391152.1	14	57671888	57673291	2	0	0.114989	1
AL441883.1	6	13615728	13621126	2	1	0.272473	1
AL445665.1	9	69650263	69660358	2	15	1	1
AL513478.1	9	43135095	43135514	3	7	1	1
AL583828.1	6	13469513	13486415	2	1	0.272473	1
AL589739.1	1	2258581	2259042	4	5	0.378362	1
AL590452.1	1	144989309	144991365	5	5	0.225477	1
AL590560.1	1	159879884	159880159	1	0	0.349565	1
AL591025.1	6	159047471	159049322	1	0	0.340966	1
AL591684.1	10	48255279	48279199	1	1	0.563744	1
AL591806.1	1	161035655	161035943	1	0	0.349565	1
AL592284.1	1	144339738	144521058	3	3	0.329067	1
AL596220.1	1	186364123	186365908	0	1	1	1
AL603965.1	10	47746962	47770871	1	0	0.338766	1
AL626787.1	1	166026679	166028709	1	0	0.341766	1
AL627309.1	1	134901	139379	2	48	1	1
AL645608.1	1	861264	866445	1	1	0.571443	1
AL645608.2	1	818043	819983	1	3	1	1
AL646016.1	1	240629183	240643504	1	0	0.331867	1
AL669831.1	1	738532	739137	0	3	1	1
AL928654.7	14	105953536	105958604	1	357	1	1
ALCAM	3	105085753	105295744	1	0	0.342966	1
ALDH18A1	10	97365686	97416463	3	0	0.039696	1
ALDH1A2	15	58245622	58790065	2	6	1	1
ALDH3A1	17	19641297	19652256	1	0	0.336166	1
ALDH3A2	17	19551449	19580911	1	1	0.566243	1
ALDH3B1	11	67776048	67796749	1	1	0.571243	1
ALDH3B2	11	67429633	67448671	1	4	1	1
ALDH4A1	1	19197924	19229275	3	0	0.0340966	1
ALDH5A1	6	24495080	24537435	0	1	1	1
ALDH7A1	5	125877533	125931110	1	1	0.564744	1
ALDH8A1	6	135238528	135271260	2	0	0.119888	1
ALDH9A1	1	165631453	165668100	1	0	0.341766	1
ALDOB	9	104182860	104198105	3	0	0.0388961	1
ALG1	16	5083961	5137380	2	4	1	1
ALG11	13	52586534	52603800	0	1	1	1
ALG14	1	95439963	95538501	1	0	0.339866	1
ALG2	9	101978708	101984238	0	1	1	1
ALG3	3	183960089	183967336	3	0	0.040496	1
ALG9	11	111652919	111742305	2	0	0.113689	1
ALK	2	29415640	30144432	0	3	1	1
ALKBH3	11	43902361	43941816	0	2	1	1
ALKBH4	7	102096685	102105323	3	0	0.0417958	1
ALKBH5	17	18086392	18113268	1	0	0.343066	1
ALKBH8	11	107373452	107436472	1	0	0.332867	1
ALMS1	2	73612886	73837920	0	3	1	1
ALOX12B	17	7975954	7991021	1	0	0.344066	1
ALOX15B	17	7942335	7952452	1	0	0.344066	1
ALOXE3	17	7999218	8022365	1	0	0.344066	1
ALPK1	4	113206665	113363776	0	1	1	1
ALPK2	18	56148479	56296189	1	18	1	1
ALPK3	15	85359911	85416713	0	1	1	1
ALPL	1	21835865	21904905	3	0	0.0419958	1
ALPP	2	233243244	233247599	4	7	0.550245	1
ALPPL2	2	233271553	233275424	4	7	0.547645	1
ALS2CR12	2	202152994	202222121	0	2	1	1
ALX1	12	85673885	85695562	2	0	0.125487	1
ALX4	11	44281994	44331716	1	0	0.342166	1
AMACR	5	33986283	34008213	1	0	0.347365	1
AMBRA1	11	46417964	46615675	1	0	0.336966	1
AMD1	6	111135824	111216916	1	0	0.337866	1
AMER3	2	131513008	131525707	1	0	0.338866	1
AMFR	16	56395364	56459450	1	0	0.338066	1
AMIGO3	3	49754267	49757128	1	0	0.337966	1
AMN1	12	31824071	31882108	0	2	1	1
AMOTL2	3	134074716	134094321	1	2	1	1
AMPD3	11	10329860	10529126	0	2	1	1
AMPH	7	38423305	38671167	2	0	0.115288	1
AMT	3	49454211	49460186	1	0	0.337966	1
AMY1A	1	104197912	104207176	89	187	1	1
AMY1B	1	104230037	104239302	120	194	0.0711929	1
AMY2A	1	104159433	104168402	75	126	0.190881	1
AMY2B	1	104096437	104122156	7	4	0.0471953	1
AMZ1	7	2719156	2815134	2	0	0.113589	1
AMZ2	17	66243715	66253305	1	0	0.338766	1
ANAPC1	2	112523848	112642267	2	1	0.269673	1
ANAPC10	4	145888264	146019693	3	0	0.0394961	1
ANAPC13	3	134196548	134205558	1	0	0.337166	1
ANAPC15	11	71817424	71823826	1	0	0.344266	1
ANAPC16	10	73975758	73995618	1	1	0.572743	1
ANG	14	21152336	21167130	3	1	0.116588	1
ANGPT1	8	108261710	108510283	0	1	1	1
ANGPT2	8	6357172	6420930	4	3	0.188481	1
ANGPT4	20	850542	896960	2	1	0.268473	1
ANGPTL4	19	8428173	8439257	1	0	0.336166	1
ANGPTL6	19	10203014	10213472	1	2	1	1
ANGPTL7	1	11249398	11256038	3	0	0.0378962	1
ANK1	8	41510739	41754280	1	0	0.346865	1
ANK2	4	113739265	114304896	0	2	1	1
ANK3	10	61786056	62493248	0	1	1	1
ANKDD1A	15	65204101	65251042	1	1	0.573143	1
ANKFN1	17	54188319	54589020	0	1	1	1
ANKIB1	7	91875548	92030698	2	1	0.270773	1
ANKK1	11	113258513	113271140	2	1	0.263574	1
ANKLE1	19	17392454	17398455	4	1	0.0461954	1
ANKMY1	2	241418839	241508626	1	0	0.336966	1
ANKMY2	7	16639401	16685442	1	0	0.345465	1
ANKRD1	10	92671853	92681033	1	0	0.336766	1
ANKRD13D	11	67056018	67069956	1	0	0.344266	1
ANKRD16	10	5903580	5931869	1	0	0.351365	1
ANKRD17	4	73939093	74124515	1	1	0.570243	1
ANKRD18A	9	38571355	38620657	0	1	1	1
ANKRD2	10	99332256	99343641	2	0	0.118588	1
ANKRD20A2	9	42368303	42411410	2	7	1	1
ANKRD20A3	9	43064966	43133544	3	9	1	1
ANKRD22	10	90581889	90611575	1	1	0.562744	1
ANKRD23	2	97490263	97523671	0	3	1	1
ANKRD24	19	4183351	4224811	3	1	0.115388	1
ANKRD26	10	27280843	27389427	3	0	0.040096	1
ANKRD27	19	33087913	33167503	1	2	1	1
ANKRD30A	10	37414716	37673039	1	2	1	1
ANKRD30B	18	14728271	14852737	1	0	0.347865	1
ANKRD30BL	2	132905164	133015542	1	0	0.336866	1
ANKRD33B	5	10564442	10657928	0	1	1	1
ANKRD34A	1	145470508	145475646	7	5	0.0783922	1
ANKRD35	1	145549209	145568526	7	5	0.0783922	1
ANKRD36	2	97779233	97930258	12	25	1	1
ANKRD36B	2	98109127	98206428	3	0	0.0380962	1
ANKRD36C	2	96514587	96657541	0	1	1	1
ANKRD39	2	97502348	97523832	0	3	1	1
ANKRD44	2	197831741	198175897	3	1	0.120688	1
ANKRD46	8	101521980	101572012	1	0	0.347365	1
ANKRD54	22	38226862	38245334	1	0	0.346165	1
ANKRD55	5	55395505	55529186	2	0	0.119288	1
ANKRD6	6	90142889	90343553	2	0	0.117688	1
ANKRD60	20	56793551	56803709	1	0	0.338766	1
ANKRD61	7	6071007	6076017	4	1	0.050195	1
ANKRD62	18	12093852	12129748	3	0	0.0394961	1
ANKRD63	15	40573645	40574787	1	0	0.337366	1
ANKRD7	7	117854723	118136225	4	16	1	1
ANKS1A	6	34857042	35059190	1	1	0.565643	1
ANKS1B	12	99120235	100378432	7	13	0.546845	1
ANKS3	16	4746511	4784379	2	0	0.118888	1
ANKS4B	16	21244986	21265166	0	1	1	1
ANKUB1	3	149478892	149686172	1	1	0.562044	1
ANKZF1	2	220094479	220101391	1	0	0.343966	1
ANLN	7	36429415	36493400	2	0	0.112189	1
ANO1	11	69924408	70035634	2	0	0.118188	1
ANO10	3	43396351	43733086	1	0	0.347965	1
ANO2	12	5641035	6055398	0	2	1	1
ANO3	11	26331146	26684835	0	1	1	1
ANO4	12	101111304	101522419	1	1	0.566843	1
ANO5	11	22214722	22304903	1	1	0.568243	1
ANO7	2	242127924	242164792	1	0	0.336966	1
ANO8	19	17434032	17445638	2	0	0.110789	1
ANO9	11	417933	442011	6	3	0.0440956	1
ANP32A	15	69070874	69113236	1	0	0.341966	1
ANPEP	15	90328120	90358633	1	0	0.343066	1
ANTXR1	2	69240310	69476459	1	0	0.350565	1
ANTXR2	4	80822303	81046608	1	2	1	1
ANTXRL	10	47657581	47701443	12	35	1	1
ANXA10	4	169013666	169108841	0	18	1	1
ANXA2R	5	43039183	43043272	1	0	0.344966	1
ANXA4	2	69871557	70054232	1	0	0.350565	1
ANXA5	4	122589110	122618268	0	18	1	1
ANXA6	5	150480273	150537443	0	1	1	1
ANXA8	10	48255204	48279200	1	1	0.563744	1
ANXA8L1	10	47157983	47174093	6	178	1	1
ANXA8L2	10	47746936	47763041	1	0	0.338766	1
AOAH	7	36552557	36764154	3	2	0.222378	1
AOC1	7	150521715	150558592	3	0	0.0376962	1
AOX1	2	201450591	201541787	0	1	1	1
AP000275.65	21	33951132	33984591	5	1	0.020098	1
AP000349.1	22	24124467	24126145	0	122	1	1
AP000350.10	22	24204375	24237410	0	122	1	1
AP000695.1	21	37858165	37860058	3	0	0.0412959	1
AP000721.4	11	63742092	63755818	1	0	0.344666	1
AP000758.1	11	120329880	120330047	1	0	0.340166	1
AP000867.1	11	71292956	71318487	2	0	0.114889	1
AP000889.3	11	107462471	107463949	1	0	0.332867	1
AP000974.1	11	85563600	85565986	2	0	0.116988	1
AP001024.1	11	107650219	107652316	2	0	0.117088	1
AP001024.2	11	107643129	107647344	2	0	0.117088	1
AP001055.1	21	45587818	45593580	3	9	1	1
AP001468.1	21	47612391	47613673	1	2	1	1
AP001652.1	11	58672897	58676071	1	0	0.348565	1
AP001888.1	11	69587254	69587718	2	0	0.118188	1
AP001925.1	11	108130255	108136480	2	0	0.113689	1
AP002353.1	11	107582998	107595135	2	0	0.117088	1
AP002884.2	11	111957627	112064528	4	3	0.185381	1
AP003419.11	11	67119043	67141055	1	0	0.344266	1
AP1AR	4	113152893	113191203	0	1	1	1
AP1G1	16	71762903	71843104	2	0	0.112589	1
AP1M1	19	16308389	16356718	3	1	0.119188	1
AP1M2	19	10683347	10697991	3	0	0.0426957	1
AP1S3	2	224616403	224702744	2	0	0.115388	1
AP2A1	19	50270225	50310370	1	0	0.344366	1
AP2M1	3	183892477	183901879	2	0	0.116988	1
AP3B1	5	77296349	77590579	1	0	0.350265	1
AP3D1	19	2100987	2164464	3	1	0.113489	1
AP3S2	15	90373831	90437870	1	0	0.343066	1
AP4B1	1	114437370	114447823	0	1	1	1
AP4E1	15	51200869	51298097	2	0	0.117588	1
AP4S1	14	31494312	31565656	1	0	0.339866	1
AP5M1	14	57735627	57765460	2	0	0.114989	1
AP5S1	20	3801171	3809484	2	0	0.117388	1
AP5Z1	7	4815253	4833943	2	0	0.118288	1
APBA1	9	72042446	72287222	5	16	1	1
APBA2	15	29129629	29410518	4	4	0.273173	1
APBA3	19	3750817	3761697	2	0	0.110989	1
APBB1IP	10	26727132	26856732	1	0	0.340566	1
APC2	19	1446301	1473243	4	1	0.050495	1
APCDD1L	20	57034157	57090187	1	0	0.338766	1
APCS	1	159557615	159558655	2	0	0.122288	1
APEH	3	49711435	49721396	1	0	0.337966	1
APELA	4	165798156	165820117	1	0	0.348565	1
APEX1	14	20923350	20925931	1	0	0.342366	1
APH1B	15	63568217	63601325	1	0	0.345465	1
APIP	11	34874641	34938046	0	1	1	1
APITD1	1	10490500	10502866	3	0	0.0408959	1
APITD1-CORT	1	10490159	10512210	3	1	0.119888	1
APLF	2	68694693	68882994	1	1	0.579742	1
APLNR	11	57001051	57004788	1	0	0.348565	1
APOA5	11	116660083	116663136	1	0	0.332867	1
APOB	2	21224301	21266945	1	0	0.349165	1
APOBEC2	6	41021043	41032250	1	0	0.339766	1
APOBEC3A	22	39348746	39388783	13	25	0.548845	1
APOBEC3B	22	39378352	39388809	13	24	0.50215	1
APOBEC3F	22	39436609	39449915	1	0	0.333667	1
APOBEC3G	22	39436966	39483748	1	0	0.333667	1
APOBR	16	28505970	28510291	3	3	0.333867	1
APOL1	22	36649056	36663576	0	1	1	1
APOL3	22	36536378	36562225	1	2	1	1
APOL5	22	36113919	36125530	1	0	0.345165	1
APOL6	22	36044442	36064456	1	0	0.345165	1
APOLD1	12	12878851	12982909	0	1	1	1
APP	21	27252861	27543446	1	9	1	1
APPBP2	17	58520510	58603580	1	0	0.343966	1
APRT	16	88875747	88878352	8	14	0.49865	1
AQP12A	2	241631262	241637900	1	0	0.336966	1
AQP12B	2	241615835	241622323	1	0	0.336966	1
AQP4	18	24432002	24445782	1	0	0.336866	1
AQP8	16	25227052	25240261	1	0	0.344566	1
ARAP2	4	35949843	36246131	0	1	1	1
AREG	4	75310851	75320726	0	2	1	1
AREGB	4	75480629	75490486	0	1	1	1
ARFGAP1	20	61904137	61921145	3	0	0.0374963	1
ARFGAP3	22	43192508	43254112	2	0	0.110789	1
ARFGEF2	20	47538427	47653230	0	1	1	1
ARFGEF3	6	138483058	138665800	3	0	0.0432957	1
ARFIP1	4	153608879	153839615	0	2	1	1
ARFRP1	20	62329995	62339377	2	1	0.262174	1
ARHGAP1	11	46698630	46722165	1	0	0.336966	1
ARHGAP10	4	148653214	148993931	3	4	0.441956	1
ARHGAP11B	15	30916697	31065196	20	68	1	1
ARHGAP12	10	32094332	32217804	2	0	0.117688	1
ARHGAP15	2	143848931	144525921	1	1	0.566643	1
ARHGAP17	16	24930706	25026987	1	1	0.565943	1
ARHGAP19	10	98981930	99052430	2	0	0.118588	1
ARHGAP19-SLIT1	10	98912802	99052394	2	0	0.118588	1
ARHGAP20	11	110447766	110583912	2	0	0.113689	1
ARHGAP22	10	49654077	49864310	2	1	0.269273	1
ARHGAP24	4	86396267	86923823	0	6	1	1
ARHGAP25	2	68906733	69053965	1	0	0.350565	1
ARHGAP26	5	142149949	142608576	0	2	1	1
ARHGAP29	1	94614544	94740624	1	0	0.339866	1
ARHGAP30	1	161016736	161039760	1	0	0.349565	1
ARHGAP40	20	37230577	37279678	2	0	0.113589	1
ARHGAP42	11	100558384	100862668	1	0	0.339066	1
ARHGAP5	14	32545320	32628934	1	0	0.339866	1
ARHGAP8	22	45148438	45258668	6	5	0.134187	1
ARHGAP9	12	57866038	57882597	3	0	0.0414959	1
ARHGDIA	17	79825597	79829282	1	0	0.346965	1
ARHGEF1	19	42387228	42434302	0	1	1	1
ARHGEF10	8	1772142	1906807	2	2	0.427857	1
ARHGEF12	11	120207623	120360645	1	0	0.340166	1
ARHGEF15	17	8213559	8225834	1	0	0.344066	1
ARHGEF16	1	3370990	3397677	5	2	0.0515948	1
ARHGEF25	12	58003963	58013162	3	0	0.0414959	1
ARHGEF28	5	72921983	73237818	0	2	1	1
ARHGEF33	2	39117021	39202590	1	0	0.346965	1
ARHGEF38	4	106473777	106629250	3	3	0.330967	1
ARHGEF4	2	131594489	131804836	1	7	1	1
ARHGEF40	14	21538429	21558399	2	9	1	1
ARHGEF5	7	144052381	144077725	64	154	1	1
ARID3B	15	74833518	74890472	0	1	1	1
ARID4A	14	58765103	58840605	1	0	0.338166	1
ARID4B	1	235294949	235491534	1	0	0.346565	1
ARID5A	2	97202480	97218375	0	26	1	1
ARIH2	3	48956254	49023815	2	0	0.111089	1
ARIH2OS	3	48955221	48956818	2	0	0.111089	1
ARL10	5	175792471	175828866	1	0	0.340666	1
ARL11	13	50202435	50208008	0	2	1	1
ARL14EP	11	30344598	30359774	1	0	0.346965	1
ARL14EPL	5	115368021	115395815	0	2	1	1
ARL15	5	53179775	53606412	2	0	0.119288	1
ARL17B	17	44352150	44439163	21	67	1	1
ARL2	11	64781585	64789656	1	0	0.344666	1
ARL2-SNX15	11	64781654	64808042	1	0	0.344666	1
ARL3	10	104433488	104474164	1	1	0.571243	1
ARL4C	2	235401685	235405697	1	0	0.336966	1
ARL4D	17	41476327	41478505	2	0	0.113789	1
ARL5B	10	18948334	18970568	1	0	0.343766	1
ARL6IP5	3	69134095	69155217	1	0	0.341966	1
ARL9	4	57371509	57390614	1	0	0.340466	1
ARMC10	7	102715328	102740211	3	0	0.0417958	1
ARMC2	6	109169619	109295675	1	0	0.337866	1
ARMC5	16	31469401	31478487	0	1	1	1
ARMC6	19	19144384	19171120	2	0	0.117088	1
ARMC8	3	137906090	138017231	2	0	0.113189	1
ARNT	1	150782181	150849244	0	9	1	1
ARNT2	15	80696692	80890278	1	1	0.562644	1
ARNTL2	12	27485787	27578222	3	1	0.117388	1
ARPC1A	7	98923521	98985787	3	0	0.0393961	1
ARPC1B	7	98971872	98992424	3	0	0.0393961	1
ARPC2	2	219081817	219119079	1	0	0.343966	1
ARPC5L	9	127624409	127640012	0	1	1	1
ARPIN	15	90438238	90456188	1	0	0.343066	1
ARPP19	15	52839242	52862080	1	2	1	1
ARPP21	3	35680437	35835988	1	0	0.336266	1
ARRB1	11	74975226	75062749	0	1	1	1
ARRDC2	19	18111941	18124911	0	1	1	1
ARRDC3	5	90664541	90679176	1	0	0.344566	1
ARSG	17	66255323	66418872	1	0	0.338766	1
ARSK	5	94890778	94940768	0	1	1	1
ART3	4	76932337	77033955	0	1	1	1
ARV1	1	231114727	231136341	2	0	0.118188	1
AS3MT	10	104629273	104661656	1	1	0.571243	1
ASAH1	8	17913934	17942494	0	1	1	1
ASAH2	10	51942538	52008370	1	1	0.576442	1
ASAH2B	10	52499078	52576255	1	0	0.341966	1
ASAH2C	10	48001603	48055018	1	1	0.562644	1
ASAP1	8	131064350	131455906	2	0	0.117688	1
ASAP2	2	9346894	9545812	0	1	1	1
ASB1	2	239335383	239360891	1	0	0.336966	1
ASB13	10	5680830	5708558	1	0	0.351365	1
ASB14	3	57302375	57326710	0	1	1	1
ASB16	17	42247815	42256451	1	0	0.333267	1
ASB18	2	237103515	237173052	1	0	0.336966	1
ASB3	2	53759810	54014747	1	4	1	1
ASB4	7	95107756	95169544	2	0	0.117088	1
ASB5	4	177134824	177198722	4	2	0.109789	1
ASCC1	10	73855790	73976892	1	1	0.572743	1
ASCL5	1	201083081	201096312	1	0	0.339966	1
ASF1A	6	119215384	119230332	2	0	0.115788	1
ASF1B	19	14230321	14247768	3	1	0.116888	1
ASIC2	17	31340105	32501983	0	8	1	1
ASIC4	2	220378892	220403494	1	0	0.343966	1
ASIP	20	32782375	32857150	1	0	0.340666	1
ASNA1	19	12847953	12859137	3	1	0.124688	1
ASNS	7	97481430	97501854	3	0	0.0413959	1
ASPG	14	104552016	104581918	1	0	0.338066	1
ASPH	8	62413115	62627199	3	4	0.446655	1
ASPHD2	22	26825239	26840981	1	0	0.337966	1
ASPM	1	197053258	197115824	1	0	0.353665	1
ASPN	9	95218487	95244788	1	0	0.350965	1
ASPRV1	2	70187221	70189397	1	0	0.350565	1
ASS1	9	133320316	133376661	1	0	0.344466	1
ASTL	2	96789589	96804175	0	1	1	1
ASXL1	20	30946147	31027122	1	0	0.340966	1
ASXL2	2	25956622	26101385	1	0	0.344366	1
ASXL3	18	31158579	31331156	1	0	0.336866	1
ASZ1	7	117003276	117068177	1	0	0.332467	1
ATAD1	10	89511269	89601100	1	2	1	1
ATAD3A	1	1447531	1470067	2	0	0.108089	1
ATAD3B	1	1407149	1433228	2	0	0.108089	1
ATAD3C	1	1385069	1405538	1	0	0.336166	1
ATAD5	17	29158988	29222887	2	0	0.113889	1
ATCAY	19	3879862	3928077	3	0	0.0374963	1
ATF5	19	50431959	50437192	0	1	1	1
ATF6	1	161736084	161933860	1	0	0.348065	1
ATF6B	6	32065953	32096030	1	0	0.344866	1
ATF7IP2	16	10420291	10577495	0	1	1	1
ATG13	11	46639077	46696368	1	0	0.336966	1
ATG14	14	55833110	55878576	3	0	0.0410959	1
ATG16L1	2	234118697	234204320	1	0	0.336966	1
ATG2A	11	64662018	64684720	2	0	0.119188	1
ATG3	3	112251356	112280893	0	1	1	1
ATG4B	2	242576628	242613272	0	16	1	1
ATG4C	1	63249806	63331184	0	1	1	1
ATG4D	19	10654571	10664094	3	0	0.0426957	1
ATG5	6	106632351	106773695	1	0	0.337766	1
ATG9A	2	220074494	220094439	1	0	0.343966	1
ATIC	2	216176540	216214496	1	0	0.343966	1
ATL1	14	50999227	51099786	1	1	0.566943	1
ATL2	2	38522022	38604427	1	0	0.346965	1
ATL3	11	63391559	63439393	1	0	0.344666	1
ATM	11	108093211	108239829	2	0	0.113689	1
ATOH1	4	94749904	94752115	1	1	0.564144	1
ATP10A	15	25922420	26110319	0	2	1	1
ATP10B	5	159990127	160279221	1	2	1	1
ATP10D	4	47487305	47595503	0	1	1	1
ATP11B	3	182511288	182639423	3	0	0.0391961	1
ATP12A	13	25254549	25286631	1	0	0.342466	1
ATP13A2	1	17312453	17338423	1	0	0.338066	1
ATP13A4	3	193119866	193310900	0	6	1	1
ATP13A5	3	192992579	193096632	1	5	1	1
ATP1A1	1	116915290	116952883	1	0	0.335766	1
ATP1A2	1	160085549	160113381	1	0	0.349565	1
ATP1A4	1	160121360	160156767	1	0	0.349565	1
ATP1B2	17	7549945	7561086	2	1	0.272373	1
ATP1B3	3	141594966	141645356	3	0	0.0353965	1
ATP2A1	16	28889726	28915830	4	7	0.547345	1
ATP2B1	12	89981826	90103077	2	0	0.125487	1
ATP2B2	3	10365707	10749716	4	2	0.10419	1
ATP2C1	3	130569439	130735556	0	1	1	1
ATP2C2	16	84402133	84497793	6	11	0.537046	1
ATP5A1	18	43660214	43684300	1	0	0.337766	1
ATP5B	12	57031959	57039852	1	0	0.347865	1
ATP5E	20	57600522	57607437	1	0	0.338766	1
ATP5G1	17	46970127	46973233	3	0	0.0393961	1
ATP5J	21	27088815	27107984	1	0	0.341366	1
ATP5J2	7	99046098	99063954	3	1	0.120188	1
ATP5J2-PTCD1	7	99017372	99063820	3	1	0.120188	1
ATP5L2	22	43035809	43036607	2	0	0.110789	1
ATP5SL	19	41937223	41946622	0	2	1	1
ATP6V0A2	12	124196865	124246302	1	0	0.336866	1
ATP6V0A4	7	138391040	138484305	1	0	0.343166	1
ATP6V0D1	16	67471917	67515140	1	0	0.338866	1
ATP6V0D2	8	86999552	87166457	1	1	0.567443	1
ATP6V1C1	8	104033291	104085279	1	0	0.347365	1
ATP6V1E1	22	18074902	18111584	16	14	0.0482952	1
ATP6V1G2	6	31512239	31516204	0	102	1	1
ATP6V1G2-DDX39B	6	31497996	31514385	0	102	1	1
ATP7B	13	52504572	52586261	0	1	1	1
ATP8A2	13	25946209	26599989	0	1	1	1
ATP8B1	18	55313658	55470333	1	0	0.340666	1
ATP8B4	15	50150435	50475014	2	4	1	1
ATP9A	20	50213053	50385173	1	0	0.336766	1
ATP9B	18	76829285	77138283	3	0	0.039996	1
ATPAF2	17	17880723	17942523	1	0	0.343066	1
ATR	3	142168077	142297668	3	0	0.0353965	1
ATRIP	3	48488114	48507115	2	1	0.264374	1
ATRN	20	3451687	3631769	2	1	0.268973	1
ATXN1	6	16299343	16761722	4	5	0.381762	1
ATXN1L	16	71879894	71919171	2	0	0.112589	1
ATXN2L	16	28834356	28848558	4	7	0.547345	1
ATXN7	3	63850233	63989138	1	0	0.347265	1
